x,u_m,u_mm,M,,
0.415,-6.59E-06,-0.006592789,63.44445833,,
0.416,-6.62E-06,-0.006623218,63.39861333,,
0.417,-6.65E-06,-0.00665371,63.35277833,,
0.418,-6.68E-06,-0.006684265,63.30695333,,
0.419,-6.71E-06,-0.006714884,63.26113833,,
0.42,-6.75E-06,-0.006745565,63.21533333,,
0.421,-6.78E-06,-0.00677631,63.16953833,,
0.422,-6.81E-06,-0.006807119,63.12375333,,
0.423,-6.84E-06,-0.00683799,63.07797833,,
0.424,-6.87E-06,-0.006868925,63.03221333,,
0.425,-6.90E-06,-0.006899922,62.98645833,,
0.426,-6.93E-06,-0.006930983,62.94071333,,
0.427,-6.96E-06,-0.006962106,62.89497833,,
0.428,-6.99E-06,-0.006993292,62.84925333,,
0.429,-7.02E-06,-0.007024541,62.80353833,,
0.43,-7.06E-06,-0.007055853,62.75783333,,
0.431,-7.09E-06,-0.007087228,62.71213833,,
0.432,-7.12E-06,-0.007118665,62.66645333,,
0.433,-7.15E-06,-0.007150166,62.62077833,,
0.434,-7.18E-06,-0.007181728,62.57511333,,
0.435,-7.21E-06,-0.007213354,62.52945833,,
0.436,-7.25E-06,-0.007245041,62.48381333,,
0.437,-7.28E-06,-0.007276792,62.43817833,,
0.438,-7.31E-06,-0.007308604,62.39255333,,
0.439,-7.34E-06,-0.00734048,62.34693833,,
0.44,-7.37E-06,-0.007372417,62.30133333,,
0.441,-7.40E-06,-0.007404417,62.25573833,,
0.442,-7.44E-06,-0.007436479,62.21015333,,
0.443,-7.47E-06,-0.007468603,62.16457833,,
0.444,-7.50E-06,-0.00750079,62.11901333,,
0.445,-7.53E-06,-0.007533038,62.07345833,,
0.446,-7.57E-06,-0.007565349,62.02791333,,
0.447,-7.60E-06,-0.007597721,61.98237833,,
0.448,-7.63E-06,-0.007630156,61.93685333,,
0.449,-7.66E-06,-0.007662652,61.89133833,,
0.45,-7.70E-06,-0.007695211,61.84583333,,
0.451,-7.73E-06,-0.007727831,61.80033833,,
0.452,-7.76E-06,-0.007760513,61.75485333,,
0.453,-7.79E-06,-0.007793257,61.70937833,,
0.454,-7.83E-06,-0.007826063,61.66391333,,
0.455,-7.86E-06,-0.00785893,61.61845833,,
0.456,-7.89E-06,-0.007891859,61.57301333,,
0.457,-7.92E-06,-0.007924849,61.52757833,,
0.458,-7.96E-06,-0.007957901,61.48215333,,
0.459,-7.99E-06,-0.007991015,61.43673833,,
0.46,-8.02E-06,-0.008024189,61.39133333,,
0.461,-8.06E-06,-0.008057426,61.34593833,,
0.462,-8.09E-06,-0.008090723,61.30055333,,
0.463,-8.12E-06,-0.008124082,61.25517833,,
0.464,-8.16E-06,-0.008157502,61.20981333,,
0.465,-8.19E-06,-0.008190984,61.16445833,,
0.466,-8.22E-06,-0.008224526,61.11911333,,
0.467,-8.26E-06,-0.00825813,61.07377833,,
0.468,-8.29E-06,-0.008291795,61.02845333,,
0.469,-8.33E-06,-0.00832552,60.98313833,,
0.47,-8.36E-06,-0.008359307,60.93783333,,
0.471,-8.39E-06,-0.008393155,60.89253833,,
0.472,-8.43E-06,-0.008427063,60.84725333,,
0.473,-8.46E-06,-0.008461033,60.80197833,,
0.474,-8.50E-06,-0.008495063,60.75671333,,
0.475,-8.53E-06,-0.008529154,60.71145833,,
0.476,-8.56E-06,-0.008563305,60.66621333,,
0.477,-8.60E-06,-0.008597518,60.62097833,,
0.478,-8.63E-06,-0.008631791,60.57575333,,
0.479,-8.67E-06,-0.008666124,60.53053833,,
0.48,-8.70E-06,-0.008700518,60.48533333,,
0.481,-8.73E-06,-0.008734973,60.44013833,,
0.482,-8.77E-06,-0.008769488,60.39495333,,
0.483,-8.80E-06,-0.008804063,60.34977833,,
0.484,-8.84E-06,-0.008838699,60.30461333,,
0.485,-8.87E-06,-0.008873395,60.25945833,,
0.486,-8.91E-06,-0.008908151,60.21431333,,
0.487,-8.94E-06,-0.008942968,60.16917833,,
0.488,-8.98E-06,-0.008977845,60.12405333,,
0.489,-9.01E-06,-0.009012781,60.07893833,,
0.49,-9.05E-06,-0.009047778,60.03383333,,
0.491,-9.08E-06,-0.009082835,59.98873833,,
0.492,-9.12E-06,-0.009117952,59.94365333,,
0.493,-9.15E-06,-0.009153129,59.89857833,,
0.494,-9.19E-06,-0.009188366,59.85351333,,
0.495,-9.22E-06,-0.009223662,59.80845833,,
0.496,-9.26E-06,-0.009259019,59.76341333,,
0.497,-9.29E-06,-0.009294435,59.71837833,,
0.498,-9.33E-06,-0.009329911,59.67335333,,
0.499,-9.37E-06,-0.009365446,59.62833833,,
0.5,-9.40E-06,-0.009401042,59.58333333,,
0.501,-9.44E-06,-0.009436696,59.53833833,,
0.502,-9.47E-06,-0.009472411,59.49335333,,
0.503,-9.51E-06,-0.009508185,59.44837833,,
0.504,-9.54E-06,-0.009544018,59.40341333,,
0.505,-9.58E-06,-0.009579911,59.35845833,,
0.506,-9.62E-06,-0.009615863,59.31351333,,
0.507,-9.65E-06,-0.009651874,59.26857833,,
0.508,-9.69E-06,-0.009687944,59.22365333,,
0.509,-9.72E-06,-0.009724074,59.17873833,,
0.51,-9.76E-06,-0.009760263,59.13383333,,
0.511,-9.80E-06,-0.009796511,59.08893833,,
0.512,-9.83E-06,-0.009832819,59.04405333,,
